,hex,reg_number,flag,latitude,longitude,altitude_ft,dir,speed_mph,v_speed_mph,flight_number,flight_icao,flight_iata,departure_icao,departure_iata,arrival_icao,arrival_iata,airline_icao,airline_iata,aircraft_icao,updated,status,type,squawk
0,A6981A,N524DE,US,45.914328,-119.30382,36738.84632,311.1,437.445184,0.0,438,DAL438,DL438,KFLL,FLL,KSEA,SEA,DAL,DL,A21N,2025-12-04 14:32:33,en-route,adsb,Unknown
1,789280,B-KKD,HK,25.082999,121.400468,33940.2898,230.5,464.164137,0.0,615,HKE615,UO615,RKSI,ICN,VHHH,HKG,HKE,UO,A21N,2025-12-04 14:32:32,en-route,adsb,Unknown
2,A24508,N24505,US,26.629817,-81.652149,24412.73044,132.1,480.941154,0.0,1775,UAL1775,UA1775,KORD,ORD,KFLL,FLL,UAL,UA,A21N,2025-12-04 14:32:33,en-route,adsb,Unknown
3,39348E,F-GNEO,FR,45.274424,12.91849,34064.96172,283.0,505.174623,0.0,3069,TVF3069,TO3069,LGTS,SKG,LFPO,ORY,TVF,TO,A20N,2025-12-04 14:32:33,en-route,adsb,Unknown
4,346391,EC-NFA,ES,28.067591,-15.312638,5229.65896,41.8,296.393967,0.0,6014,IBB6014,NT6014,GCLP,LPA,LEMD,MAD,IBB,NT,E295,2025-12-04 14:32:33,en-route,adsb,Unknown
5,400384,VQ-TMJ,TC,18.423166,-66.639919,19064.96124,81.9,283.966547,0.0,411,IWY411,JY411,MDSD,SDQ,TUPJ,EIS,IWY,JY,E120,2025-12-04 14:32:33,en-route,adsb,Unknown
6,740826,JY-BAF,JO,20.050715,74.372016,39839.24012,281.9,512.631075,0.0,183,RJA183,RJ183,VTBS,BKK,OJAI,AMM,RJA,RJ,B788,2025-12-04 14:32:32,en-route,adsb,Unknown
7,E49640,PS-AEF,BR,-22.995706,-47.424922,7306.43068,71.0,311.928242,0.0,2862,AZU2862,AD2862,SBCT,CWB,SBKP,VCP,AZU,AD,E295,2025-12-04 14:32:32,en-route,adsb,Unknown
8,E49A9F,PS-AEP,BR,-22.08233,-46.462009,23562.99288,209.6,415.075828,0.0,4046,AZU4046,AD4046,SBCF,CNF,SBKP,VCP,AZU,AD,E295,2025-12-04 14:32:32,en-route,adsb,Unknown
9,800D7A,VT-SYJ,IN,28.207541,76.455505,13605.64348,73.9,402.648408,0.0,386,SEJ386,SG386,VABB,BOM,VIDP,DEL,SEJ,SG,B738,2025-12-04 14:32:32,en-route,adsb,Unknown
10,471F36,HA-LVI,HU,37.705579,25.225004,38287.402799999996,341.0,544.320996,0.0,2302,WZZ2302,W62302,OEJN,JED,LHBP,BUD,WZZ,W6,A21N,2025-12-04 14:32:33,en-route,adsb,Unknown
