hex,reg_number,flag,lat,lng,alt,dir,speed,v_speed,flight_number,flight_icao,flight_iata,dep_icao,dep_iata,arr_icao,arr_iata,airline_icao,airline_iata,aircraft_icao,updated,status,type,squawk
A6981A,N524DE,US,45.914328,-119.30382,11198,311.1,704,0,438,DAL438,DL438,KFLL,FLL,KSEA,SEA,DAL,DL,A21N,1764876753,en-route,adsb,
789280,B-KKD,HK,25.082999,121.400468,10345,230.5,747,0,615,HKE615,UO615,RKSI,ICN,VHHH,HKG,HKE,UO,A21N,1764876752,en-route,adsb,
A24508,N24505,US,26.629817,-81.652149,7441,132.1,774,0,1775,UAL1775,UA1775,KORD,ORD,KFLL,FLL,UAL,UA,A21N,1764876753,en-route,adsb,
39348E,F-GNEO,FR,45.274424,12.91849,10383,283.0,813,0,3069,TVF3069,TO3069,LGTS,SKG,LFPO,ORY,TVF,TO,A20N,1764876753,en-route,adsb,
346391,EC-NFA,ES,28.067591,-15.312638,1594,41.8,477,0,6014,IBB6014,NT6014,GCLP,LPA,LEMD,MAD,IBB,NT,E295,1764876753,en-route,adsb,
400384,VQ-TMJ,TC,18.423166,-66.639919,5811,81.9,457,0,411,IWY411,JY411,MDSD,SDQ,TUPJ,EIS,IWY,JY,E120,1764876753,en-route,adsb,
740826,JY-BAF,JO,20.050715,74.372016,12143,281.9,825,0,183,RJA183,RJ183,VTBS,BKK,OJAI,AMM,RJA,RJ,B788,1764876752,en-route,adsb,
E49640,PS-AEF,BR,-22.995706,-47.424922,2227,71.0,502,0,2862,AZU2862,AD2862,SBCT,CWB,SBKP,VCP,AZU,AD,E295,1764876752,en-route,adsb,
E49A9F,PS-AEP,BR,-22.08233,-46.462009,7182,209.6,668,0,4046,AZU4046,AD4046,SBCF,CNF,SBKP,VCP,AZU,AD,E295,1764876752,en-route,adsb,
800D7A,VT-SYJ,IN,28.207541,76.455505,4147,73.9,648,0,386,SEJ386,SG386,VABB,BOM,VIDP,DEL,SEJ,SG,B738,1764876752,en-route,adsb,
471F36,HA-LVI,HU,37.705579,25.225004,11670,341.0,876,0,2302,WZZ2302,W62302,OEJN,JED,LHBP,BUD,WZZ,W6,A21N,1764876753,en-route,adsb,
4CAAA8,EI-IMW,IT,43.611781,13.000473,11747,126.9,786,0,1641,ITY1641,AZ1641,LIML,LIN,LIBR,BDS,ITY,AZ,A319,1764876753,en-route,adsb,1000
478DF2,LN-WEB,NO,60.513176,5.560378,5110,35.2,629,0,630,WIF630,WF630,ENBR,BGO,ENTC,TOS,WIF,WF,E290,1764876753,en-route,adsb,
0D0EFA,XA-RFC,MX,24.789013,-100.221259,3964,195.8,270,0,106,RFD106,ZV106,MMMY,MTY,MMSP,SLP,RFD,ZV,C208,1764876753,en-route,adsb,
A96CBE,N706VL,US,43.077086,-76.985298,11891,271.6,651,0,433,VXP433,XP433,KHVN,HVN,KBNA,BNA,VXP,XP,B737,1764876753,en-route,adsb,
A1FFF2,N228NN,US,32.379043,-93.551915,8874,267.0,718,0,4024,AAL4024,AA4024,KCHS,CHS,KDFW,DFW,ENY,MQ,E170,1764876753,en-route,adsb,
A2B112,N27258,US,38.264995,-110.591278,10474,246.3,896,0,1320,UAL1320,UA1320,KDEN,DEN,KSNA,SNA,UAL,UA,B38M,1764876753,en-route,adsb,
8406D0,,JP,41.74739,29.474252,11297,124.0,875,0,46,JAL46,JL46,LFPG,CDG,RJTT,HND,JAL,JL,A35K,1764876753,en-route,adsb,
343385,EC-LAA,ES,31.701045,-13.76348,10688,216.0,826,0,1585,IBE1585,IB1585,LEMD,MAD,GCXO,TFN,IBS,I2,A320,1764876753,en-route,adsb,
407914,G-DRTZ,UK,49.473807,-1.398834,11602,18.0,796,0,1508,EXS1508,LS1508,GCLP,LPA,EGSS,STN,EXS,LS,B738,1764876753,en-route,adsb,
440181,OE-LQG,UK,38.701948,-7.404308,11869,16.0,707,0,4782,EZY4782,U24782,GMMX,RAK,LFRS,NTE,EZY,U2,A319,1764876753,en-route,adsb,
706059,9K-AOF,KW,42.955737,28.705733,10688,131.9,854,0,102,KAC102,KU102,EGLL,LHR,OKKK,KWI,KAC,KU,B77W,1764876753,en-route,adsb,
750255,9M-MTB,MY,28.010575,128.219571,12501,46.9,1038,0,52,MAS52,MH52,WMKK,KUL,RJBB,KIX,MAS,MH,A333,1764876752,en-route,adsb,
750260,9M-MTM,MY,3.986652,99.220693,8562,299.5,875,0,164,MAS164,MH164,WMKK,KUL,OTHH,DOH,MAS,MH,A333,1764876752,en-route,adsb,
781112,B-7838,CN,-11.907887,133.889407,12097,147.5,919,0,801,CXA801,MF801,ZSAM,XMN,YSSY,SYD,CXA,MF,B789,1764876752,en-route,adsb,
781418,B-1113,CN,-13.47086,131.634351,12074,146.6,943,0,737,CES737,MU737,ZSPD,PVG,YMML,MEL,CES,MU,B789,1764876752,en-route,adsb,
801435,VT-ATH,IN,16.212663,75.153457,10619,123.6,828,0,2660,AXB2660,IX2660,VAPO,PNQ,VOMM,MAA,AXB,IX,A20N,1764876752,en-route,adsb,
801594,VT-RTE,IN,27.697765,79.666619,10992,293.3,704,0,1042,AXB1042,IX1042,VEGT,GAU,VIDP,DEL,AXB,IX,A21N,1764876752,en-route,adsb,
801597,VT-TVH,IN,24.652015,74.997745,9567,202.0,780,0,2999,AIC2999,AI2999,VIDP,DEL,VABB,BOM,AIC,AI,A21N,1764876752,en-route,adsb,
885102,HS-THB,TH,28.06357,77.292493,12272,128.6,967,0,961,THA961,TG961,ESSA,ARN,VTBS,BKK,THA,TG,A359,1764876752,en-route,adsb,
896409,A6-BLD,AE,40.234444,36.952311,11907,109.0,913,0,3,ETD3,EY3,EGLL,LHR,OMAA,AUH,ETD,EY,B789,1764876753,en-route,adsb,
896478,A6-EUN,AE,14.01543,100.465612,4002,270.3,731,0,377,UAE377,EK377,VTBS,BKK,OMDB,DXB,UAE,EK,A388,1764876752,en-route,adsb,
896515,A6-FNB,AE,23.673172,53.458637,11731,61.2,949,0,856,FDB856,FZ856,OERK,RUH,OMDB,DXB,FDB,FZ,B39M,1764876752,en-route,adsb,
48AE83,SP-LWD,PL,35.380275,27.756461,11297,155.0,769,0,149,LOT149,LO149,EPWA,WAW,HECA,CAI,LOT,LO,B738,1764876752,en-route,adsb,
4075FE,G-NEOS,UK,53.45302,6.940294,9735,74.7,798,0,970,BAW970,BA970,EGLL,LHR,EDDH,HAM,BAW,BA,A21N,1764876752,en-route,adsb,
4008AD,G-EUPN,UK,53.661851,7.317854,11602,236.9,756,0,817,BAW817,BA817,EKCH,CPH,EGLL,LHR,BAW,BA,A319,1764876752,en-route,adsb,
