,hex,reg_number,flag,latitude,longitude,altitude_ft,dir,speed_mph,v_speed_mph,flight_number,flight_icao,flight_iata,departure_icao,departure_iata,arrival_icao,arrival_iata,airline_icao,airline_iata,aircraft_icao,updated,status,type
0,789280,B-KKD,HK,25.497075,122.466694,37214.568119999996,50.9,608.94358,0.0,686,HKE686,UO686,VHHH,HKG,RJBB,KIX,HKE,UO,A21N,2025-12-02 20:54:24,en-route,adsb
1,881421,HS-EAA,TH,17.88229,99.437927,25964.567759999998,163.3,486.533493,0.0,3438,AIQ3438,FD3438,VTCC,CNX,VTBD,DMK,AIQ,FD,A21N,2025-12-02 20:54:24,en-route,adsb
2,7C47A6,VH-OFS,AU,-39.992847,145.880419,35764.43684,161.6,523.194382,0.0,705,JST705,JQ705,YMML,MEL,YMHB,HBA,JST,JQ,A21N,2025-12-02 20:54:24,en-route,adsb
3,78192A,B-20EK,CN,21.836641,112.494869,36338.58384,248.1,478.45567,0.0,853,CXA853,MF853,ZSAM,XMN,VTBS,BKK,CXA,MF,B38M,2025-12-02 20:54:24,en-route,adsb
4,E80620,CC-DIC,CL,-31.311245,-64.208318,35065.61792,183.0,27.961695,0.0,3108,JAT3108,JA3108,SABE,AEP,SACO,COR,JES,WJ,A21N,2025-12-02 20:54:24,landed,adsb
5,3C670F,D-AIXO,DE,27.604838,46.876283,41062.99344,104.0,646.847211,0.0,638,DLH638,LH638,EDDM,MUC,OMDB,DXB,DLH,LH,A359,2025-12-02 20:54:24,en-route,adsb
6,0C20BD,HP-1851CMP,PA,12.115581,-85.429543,36164.69932,293.3,548.049222,0.0,721,CMP721,CM721,MPTO,PTY,MMGL,GDL,CMP,CM,B738,2025-12-02 20:54:24,en-route,adsb
7,0C4183,HI1027,DO,18.391878,-69.65706,534.77692,342.1,162.799202,0.0,2105,DWI2105,DM2105,KMIA,MIA,MDSD,SDQ,DWI,DM,B38M,2025-12-02 20:54:24,en-route,adsb
8,A96CBE,N706VL,US,36.829357,-76.11893,39064.96188,24.5,573.525433,0.0,346,VXP346,XP346,KPBI,PBI,KHVN,HVN,VXP,XP,B737,2025-12-02 20:54:24,en-route,adsb
9,A12709,N17320,US,44.312915,-96.678172,36062.99328,266.0,438.066555,0.0,2462,UAL2462,UA2462,KSFO,SFO,KSEA,SEA,UAL,UA,B38M,2025-12-02 20:54:24,en-route,adsb
10,A6981A,N524DE,US,40.263333,-101.762991,35013.12448,99.9,648.711324,0.0,2056,DAL2056,DL2056,KSLC,SLC,KMCO,MCO,DAL,DL,A21N,2025-12-02 20:54:24,en-route,adsb
11,AB7613,N838AA,US,34.019241,-97.441728,22565.61752,195.7,525.6798660000001,0.0,9798,AAL9798,AA9798,KTUL,TUL,KDFW,DFW,AAL,AA,B789,2025-12-02 20:54:24,en-route,adsb
12,704009,XY-ALJ,MM,7.279666,100.537017,37263.78072,182.1,533.757689,0.0,501,MMA501,8M501,VYYY,RGN,WMKK,KUL,MMA,8M,A320,2025-12-02 20:54:24,en-route,adsb
13,706066,9K-APF,KW,13.834341,77.087197,15557.74328,148.1,443.65889400000003,0.0,353,KAC353,KU353,OKKK,KWI,VOBL,BLR,KAC,KU,A338,2025-12-02 20:54:24,en-route,adsb
14,708028,RDPL-34225,LA,15.078661,100.657876,21289.37076,184.0,290.180257,0.0,633,LAO633,QV633,VLLB,LPQ,VTBS,BKK,LAO,QV,AT76,2025-12-02 20:54:24,en-route,adsb
15,750465,9M-AGS,MY,12.121019,101.085287,33188.97744,181.4,536.243173,0.0,891,AXM891,AK891,VTBD,DMK,WMKK,KUL,AXM,AK,A20N,2025-12-02 20:54:24,en-route,adsb
16,758767,RP-C4268,PH,11.458069,121.877648,38687.66528,357.9,556.127045,0.0,848,CEB848,5J848,RPMZ,ZAM,RPLL,MNL,CEB,5J,A320,2025-12-02 20:54:24,en-route,adsb
17,800448,VT-AXW,IN,12.865666,77.387985,11981.62768,3.5,292.04437,0.0,2980,AXB2980,IX2980,VOTV,TRV,VOBL,BLR,AXB,IX,B738,2025-12-02 20:54:24,en-route,adsb
18,801434,VT-ISU,IN,13.375292,74.803623,32690.28976,148.9,530.029463,0.0,1504,IGO1504,6E1504,OMFJ,FJR,VOKN,CNN,IGO,6E,A20N,2025-12-02 20:54:24,en-route,adsb
19,801623,VT-BXH,IN,21.167895,76.443966,39790.02752,336.4,499.582284,0.0,2870,AXB2870,IX2870,VOHS,HYD,VIJP,JAI,AXB,IX,B38M,2025-12-02 20:54:24,en-route,adsb
