hex,reg_number,flag,lat,lng,alt,dir,speed,v_speed,flight_number,flight_icao,flight_iata,dep_icao,dep_iata,arr_icao,arr_iata,airline_icao,airline_iata,aircraft_icao,updated,status,type
789280,B-KKD,HK,25.497075,122.466694,11343,50.9,980,0,686,HKE686,UO686,VHHH,HKG,RJBB,KIX,HKE,UO,A21N,1764726864,en-route,adsb
881421,HS-EAA,TH,17.88229,99.437927,7914,163.3,783,0,3438,AIQ3438,FD3438,VTCC,CNX,VTBD,DMK,AIQ,FD,A21N,1764726864,en-route,adsb
7C47A6,VH-OFS,AU,-39.992847,145.880419,10901,161.6,842,0,705,JST705,JQ705,YMML,MEL,YMHB,HBA,JST,JQ,A21N,1764726864,en-route,adsb
78192A,B-20EK,CN,21.836641,112.494869,11076,248.1,770,0,853,CXA853,MF853,ZSAM,XMN,VTBS,BKK,CXA,MF,B38M,1764726864,en-route,adsb
E80620,CC-DIC,CL,-31.311245,-64.208318,10688,183.0,45,0,3108,JAT3108,JA3108,SABE,AEP,SACO,COR,JES,WJ,A21N,1764726864,landed,adsb
3C670F,D-AIXO,DE,27.604838,46.876283,12516,104.0,1041,0,638,DLH638,LH638,EDDM,MUC,OMDB,DXB,DLH,LH,A359,1764726864,en-route,adsb
0C20BD,HP-1851CMP,PA,12.115581,-85.429543,11023,293.3,882,0,721,CMP721,CM721,MPTO,PTY,MMGL,GDL,CMP,CM,B738,1764726864,en-route,adsb
0C4183,HI1027,DO,18.391878,-69.65706,163,342.1,262,0,2105,DWI2105,DM2105,KMIA,MIA,MDSD,SDQ,DWI,DM,B38M,1764726864,en-route,adsb
A96CBE,N706VL,US,36.829357,-76.11893,11907,24.5,923,0,346,VXP346,XP346,KPBI,PBI,KHVN,HVN,VXP,XP,B737,1764726864,en-route,adsb
A12709,N17320,US,44.312915,-96.678172,10992,266.0,705,0,2462,UAL2462,UA2462,KSFO,SFO,KSEA,SEA,UAL,UA,B38M,1764726864,en-route,adsb
A6981A,N524DE,US,40.263333,-101.762991,10672,99.9,1044,0,2056,DAL2056,DL2056,KSLC,SLC,KMCO,MCO,DAL,DL,A21N,1764726864,en-route,adsb
AB7613,N838AA,US,34.019241,-97.441728,6878,195.7,846,0,9798,AAL9798,AA9798,KTUL,TUL,KDFW,DFW,AAL,AA,B789,1764726864,en-route,adsb
704009,XY-ALJ,MM,7.279666,100.537017,11358,182.1,859,0,501,MMA501,8M501,VYYY,RGN,WMKK,KUL,MMA,8M,A320,1764726864,en-route,adsb
706066,9K-APF,KW,13.834341,77.087197,4742,148.1,714,0,353,KAC353,KU353,OKKK,KWI,VOBL,BLR,KAC,KU,A338,1764726864,en-route,adsb
